,timestamp,can_id,data_length,data,data_str,bi
141,1532457927.532492,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AE', '48']",7F8C80007FFFAE48,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101110', '01001000']"
152,1532457927.532503,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B0', '46']",7F8C80007FFFB046,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110000', '01000110']"
172,1532457927.552062,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B2', '44']",7F8C80007FFFB244,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110010', '01000100']"
181,1532457927.552069,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B4', '42']",7F8C80007FFFB442,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110100', '01000010']"
192,1532457927.580199,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B6', '40']",7F8C80007FFFB640,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110110', '01000000']"
202,1532457927.580209,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B8', '3E']",7F8C80007FFFB83E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111000', '00111110']"
213,1532457927.601227,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BA', '3C']",7F8C80007FFFBA3C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111010', '00111100']"
224,1532457927.601238,0C6,8,"['7F', '8C', '80', '14', '7F', 'FF', 'BC', '26']",7F8C80147FFFBC26,"['01111111', '10001100', '10000000', '00010100', '01111111', '11111111', '10111100', '00100110']"
237,1532457927.621815,0C6,8,"['7F', '8C', '7F', 'EC', '7F', 'FF', 'BE', '4D']",7F8C7FEC7FFFBE4D,"['01111111', '10001100', '01111111', '11101100', '01111111', '11111111', '10111110', '01001101']"
248,1532457927.621825,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'A0', '4C']",7F8C800A7FFFA04C,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10100000', '01001100']"
259,1532457927.621835,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'A2', '5F']",7F8C7FF67FFFA25F,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10100010', '01011111']"
270,1532457927.641263,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A4', '52']",7F8C80007FFFA452,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100100', '01010010']"
290,1532457927.663315,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A6', '50']",7F8C80007FFFA650,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100110', '01010000']"
299,1532457927.663322,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A8', '4E']",7F8C80007FFFA84E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101000', '01001110']"
310,1532457927.663334,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AA', '4C']",7F8C80007FFFAA4C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101010', '01001100']"
320,1532457927.690371,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AC', '4A']",7F8C80007FFFAC4A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101100', '01001010']"
331,1532457927.690384,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'AE', '53']",7F8C7FF67FFFAE53,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10101110', '01010011']"
342,1532457927.711338,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'B0', '3C']",7F8C800A7FFFB03C,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10110000', '00111100']"
355,1532457927.711348,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B2', '44']",7F8C80007FFFB244,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110010', '01000100']"
366,1532457927.732256,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B4', '42']",7F8C80007FFFB442,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110100', '01000010']"
377,1532457927.732265,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B6', '40']",7F8C80007FFFB640,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110110', '01000000']"
388,1532457927.732277,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B8', '3E']",7F8C80007FFFB83E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111000', '00111110']"
408,1532457927.751889,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BA', '3C']",7F8C80007FFFBA3C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111010', '00111100']"
417,1532457927.751897,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BC', '3A']",7F8C80007FFFBC3A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111100', '00111010']"
428,1532457927.780065,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BE', '38']",7F8C80007FFFBE38,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111110', '00111000']"
438,1532457927.780075,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A0', '56']",7F8C80007FFFA056,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100000', '01010110']"
449,1532457927.800477,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'A2', '4A']",7F8C800A7FFFA24A,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10100010', '01001010']"
459,1532457927.800487,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A4', '52']",7F8C80007FFFA452,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100100', '01010010']"
473,1532457927.821347,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'A6', '5B']",7F8C7FF67FFFA65B,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10100110', '01011011']"
485,1532457927.821358,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A8', '4E']",7F8C80007FFFA84E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101000', '01001110']"
496,1532457927.840338,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AA', '4C']",7F8C80007FFFAA4C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101010', '01001100']"
507,1532457927.840348,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AC', '4A']",7F8C80007FFFAC4A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101100', '01001010']"
527,1532457927.862079,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AE', '48']",7F8C80007FFFAE48,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101110', '01001000']"
536,1532457927.862098,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B0', '46']",7F8C80007FFFB046,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110000', '01000110']"
547,1532457927.862107,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B2', '44']",7F8C80007FFFB244,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110010', '01000100']"
557,1532457927.890172,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B4', '42']",7F8C80007FFFB442,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110100', '01000010']"
568,1532457927.890184,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B6', '40']",7F8C80007FFFB640,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110110', '01000000']"
579,1532457927.911609,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B8', '3E']",7F8C80007FFFB83E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111000', '00111110']"
589,1532457927.911618,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'BA', '32']",7F8C800A7FFFBA32,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10111010', '00110010']"
600,1532457927.932535,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BC', '3A']",7F8C80007FFFBC3A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111100', '00111010']"
611,1532457927.932551,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'BE', '43']",7F8C7FF67FFFBE43,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10111110', '01000011']"
622,1532457927.932563,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A0', '56']",7F8C80007FFFA056,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100000', '01010110']"
642,1532457927.952242,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A2', '54']",7F8C80007FFFA254,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100010', '01010100']"
651,1532457927.952251,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A4', '52']",7F8C80007FFFA452,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100100', '01010010']"
662,1532457927.979431,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A6', '50']",7F8C80007FFFA650,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100110', '01010000']"
672,1532457927.979439,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'A8', '44']",7F8C800A7FFFA844,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10101000', '01000100']"
683,1532457928.001296,0C6,8,"['7F', '8C', '7F', 'EC', '7F', 'FF', 'AA', '61']",7F8C7FEC7FFFAA61,"['01111111', '10001100', '01111111', '11101100', '01111111', '11111111', '10101010', '01100001']"
697,1532457928.001309,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'AC', '40']",7F8C800A7FFFAC40,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10101100', '01000000']"
707,1532457928.021880,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AE', '48']",7F8C80007FFFAE48,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101110', '01001000']"
721,1532457928.021893,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B0', '46']",7F8C80007FFFB046,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110000', '01000110']"
729,1532457928.021901,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B2', '44']",7F8C80007FFFB244,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110010', '01000100']"
743,1532457928.040784,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B4', '42']",7F8C80007FFFB442,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110100', '01000010']"
761,1532457928.062350,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B6', '40']",7F8C80007FFFB640,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110110', '01000000']"
772,1532457928.062360,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B8', '3E']",7F8C80007FFFB83E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111000', '00111110']"
781,1532457928.062369,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BA', '3C']",7F8C80007FFFBA3C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111010', '00111100']"
793,1532457928.083620,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BC', '3A']",7F8C80007FFFBC3A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111100', '00111010']"
802,1532457928.083629,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BE', '38']",7F8C80007FFFBE38,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111110', '00111000']"
816,1532457928.110308,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A0', '56']",7F8C80007FFFA056,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100000', '01010110']"
826,1532457928.110316,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A2', '54']",7F8C80007FFFA254,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100010', '01010100']"
839,1532457928.131711,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A4', '52']",7F8C80007FFFA452,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100100', '01010010']"
850,1532457928.131723,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A6', '50']",7F8C80007FFFA650,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100110', '01010000']"
861,1532457928.151314,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A8', '4E']",7F8C80007FFFA84E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101000', '01001110']"
881,1532457928.151334,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AA', '4C']",7F8C80007FFFAA4C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101010', '01001100']"
890,1532457928.173226,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AC', '4A']",7F8C80007FFFAC4A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101100', '01001010']"
901,1532457928.173240,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'AE', '53']",7F8C7FF67FFFAE53,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10101110', '01010011']"
911,1532457928.173250,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'B0', '3C']",7F8C800A7FFFB03C,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10110000', '00111100']"
922,1532457928.200203,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B2', '44']",7F8C80007FFFB244,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110010', '01000100']"
934,1532457928.200213,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B4', '42']",7F8C80007FFFB442,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110100', '01000010']"
946,1532457928.220749,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B6', '40']",7F8C80007FFFB640,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110110', '01000000']"
957,1532457928.220760,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B8', '3E']",7F8C80007FFFB83E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111000', '00111110']"
968,1532457928.239934,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BA', '3C']",7F8C80007FFFBA3C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111010', '00111100']"
980,1532457928.239944,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BC', '3A']",7F8C80007FFFBC3A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111100', '00111010']"
1000,1532457928.261531,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BE', '38']",7F8C80007FFFBE38,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111110', '00111000']"
1009,1532457928.261538,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A0', '56']",7F8C80007FFFA056,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100000', '01010110']"
1020,1532457928.283264,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A2', '54']",7F8C80007FFFA254,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100010', '01010100']"
1030,1532457928.283280,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A4', '52']",7F8C80007FFFA452,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100100', '01010010']"
1041,1532457928.283293,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A6', '50']",7F8C80007FFFA650,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100110', '01010000']"
1053,1532457928.307780,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A8', '4E']",7F8C80007FFFA84E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101000', '01001110']"
1064,1532457928.307789,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AA', '4C']",7F8C80007FFFAA4C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101010', '01001100']"
1077,1532457928.331122,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AC', '4A']",7F8C80007FFFAC4A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101100', '01001010']"
1088,1532457928.331130,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AE', '48']",7F8C80007FFFAE48,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101110', '01001000']"
1099,1532457928.350399,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B0', '46']",7F8C80007FFFB046,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110000', '01000110']"
1119,1532457928.350417,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'B2', '4F']",7F8C7FF67FFFB24F,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10110010', '01001111']"
1128,1532457928.371736,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'B4', '38']",7F8C800A7FFFB438,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10110100', '00111000']"
1139,1532457928.371745,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B6', '40']",7F8C80007FFFB640,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110110', '01000000']"
1149,1532457928.371753,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B8', '3E']",7F8C80007FFFB83E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111000', '00111110']"
1160,1532457928.397528,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BA', '3C']",7F8C80007FFFBA3C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111010', '00111100']"
1172,1532457928.397544,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BC', '3A']",7F8C80007FFFBC3A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111100', '00111010']"
1184,1532457928.420170,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BE', '38']",7F8C80007FFFBE38,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111110', '00111000']"
1195,1532457928.420182,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A0', '56']",7F8C80007FFFA056,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100000', '01010110']"
1206,1532457928.433815,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A2', '54']",7F8C80007FFFA254,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100010', '01010100']"
1217,1532457928.433823,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A4', '52']",7F8C80007FFFA452,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100100', '01010010']"
1237,1532457928.460584,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A6', '50']",7F8C80007FFFA650,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100110', '01010000']"
1246,1532457928.460594,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'A8', '44']",7F8C800A7FFFA844,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10101000', '01000100']"
1257,1532457928.482080,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'AA', '57']",7F8C7FF67FFFAA57,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10101010', '01010111']"
1267,1532457928.482088,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AC', '4A']",7F8C80007FFFAC4A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101100', '01001010']"
1278,1532457928.482098,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AE', '48']",7F8C80007FFFAE48,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101110', '01001000']"
1290,1532457928.503240,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B0', '46']",7F8C80007FFFB046,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110000', '01000110']"
1302,1532457928.503251,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B2', '44']",7F8C80007FFFB244,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110010', '01000100']"
1313,1532457928.530494,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B4', '42']",7F8C80007FFFB442,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110100', '01000010']"
1324,1532457928.530503,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B6', '40']",7F8C80007FFFB640,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110110', '01000000']"
1335,1532457928.550100,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B8', '3E']",7F8C80007FFFB83E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111000', '00111110']"
1355,1532457928.550119,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BA', '3C']",7F8C80007FFFBA3C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111010', '00111100']"
1364,1532457928.571588,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BC', '3A']",7F8C80007FFFBC3A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111100', '00111010']"
1375,1532457928.571600,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'BE', '2E']",7F8C800A7FFFBE2E,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10111110', '00101110']"
1385,1532457928.592023,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'A0', '61']",7F8C7FF67FFFA061,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10100000', '01100001']"
1396,1532457928.592036,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A2', '54']",7F8C80007FFFA254,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100010', '01010100']"
1408,1532457928.592045,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A4', '52']",7F8C80007FFFA452,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100100', '01010010']"
1420,1532457928.619557,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A6', '50']",7F8C80007FFFA650,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100110', '01010000']"
1431,1532457928.619565,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A8', '4E']",7F8C80007FFFA84E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101000', '01001110']"
1442,1532457928.633692,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AA', '4C']",7F8C80007FFFAA4C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101010', '01001100']"
1453,1532457928.633703,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AC', '4A']",7F8C80007FFFAC4A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101100', '01001010']"
1473,1532457928.660431,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AE', '48']",7F8C80007FFFAE48,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101110', '01001000']"
1482,1532457928.660436,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B0', '46']",7F8C80007FFFB046,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110000', '01000110']"
1493,1532457928.681803,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B2', '44']",7F8C80007FFFB244,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110010', '01000100']"
1503,1532457928.681811,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B4', '42']",7F8C80007FFFB442,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110100', '01000010']"
1514,1532457928.681819,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B6', '40']",7F8C80007FFFB640,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10110110', '01000000']"
1526,1532457928.702235,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'B8', '3E']",7F8C80007FFFB83E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111000', '00111110']"
1538,1532457928.702242,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BA', '3C']",7F8C80007FFFBA3C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111010', '00111100']"
1549,1532457928.730409,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'BC', '3A']",7F8C80007FFFBC3A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10111100', '00111010']"
