,timestamp,can_id,data_length,data,data_str,bi
12,1532457927.422070,0C6,8,"['7F', '8C', '7F', 'EC', '7F', 'FF', 'B8', '53']",7F8C7FEC7FFFB853,"['01111111', '10001100', '01111111', '11101100', '01111111', '11111111', '10111000', '01010011']"
23,1532457927.422081,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'BA', '32']",7F8C800A7FFFBA32,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10111010', '00110010']"
34,1532457927.441394,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'BC', '45']",7F8C7FF67FFFBC45,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10111100', '01000101']"
54,1532457927.470056,0C6,8,"['7F', '8C', '80', '0A', '7F', 'FF', 'BE', '2E']",7F8C800A7FFFBE2E,"['01111111', '10001100', '10000000', '00001010', '01111111', '11111111', '10111110', '00101110']"
63,1532457927.470065,0C6,8,"['7F', '8C', '7F', 'F6', '7F', 'FF', 'A0', '61']",7F8C7FF67FFFA061,"['01111111', '10001100', '01111111', '11110110', '01111111', '11111111', '10100000', '01100001']"
74,1532457927.470077,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A2', '54']",7F8C80007FFFA254,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100010', '01010100']"
84,1532457927.490955,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A4', '52']",7F8C80007FFFA452,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100100', '01010010']"
95,1532457927.490966,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A6', '50']",7F8C80007FFFA650,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10100110', '01010000']"
106,1532457927.511642,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'A8', '4E']",7F8C80007FFFA84E,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101000', '01001110']"
119,1532457927.511655,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AA', '4C']",7F8C80007FFFAA4C,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101010', '01001100']"
130,1532457927.532474,0C6,8,"['7F', '8C', '80', '00', '7F', 'FF', 'AC', '4A']",7F8C80007FFFAC4A,"['01111111', '10001100', '10000000', '00000000', '01111111', '11111111', '10101100', '01001010']"
